TIMESTAMP;ID_ORIGIN;ID_DESTINATION;ACC_ORIGIN;ACC_DESTINATION;FI_ORIGIN;FI_DESTINATION;VALUE;IS_ML
0;39;39;119;121;0;0;9946.93;1
0;36;36;59;125;10;10;9917.67;1
0;37;0;72;66;36;1;9912.06;1
0;34;36;88;58;9;18;8519.01;0
0;20;20;88;109;9;9;9680.97;1
0;45;37;97;50;12;0;9950.01;0
0;49;15;69;72;15;36;1357.01;0
0;18;17;53;50;36;0;8289.01;0
0;42;28;103;61;0;49;10000;1
0;41;37;74;52;23;12;5898.01;0
0;1;30;123;72;36;36;10000.01;1
0;38;8;83;51;20;47;7873.01;0
0;31;31;105;107;0;11;9999.98;1
0;43;37;61;97;49;12;8631.01;0
0;31;30;107;99;11;11;9999.98;1
0;39;39;55;119;30;0;9946.93;1
0;31;31;90;105;11;0;9999.98;1
0;40;6;68;98;38;9;9714.58;1
0;14;46;95;86;41;43;637.01;0
0;0;4;81;50;41;0;912.01;0
0;36;34;125;75;10;15;9917.67;1
0;42;42;89;101;33;49;10000;1
0;32;32;52;117;12;12;9960.13;1
0;15;21;77;97;45;12;9768.38;1
0;26;23;79;87;21;4;6730.01;0
0;46;13;56;71;17;38;1679.01;0
0;39;8;121;59;0;10;9946.93;1
0;20;19;109;78;9;6;9680.97;1
0;42;42;101;103;49;0;10000;1
0;2;40;113;58;18;18;10000.02;1
0;5;15;115;93;4;40;9519.51;1
0;9;32;62;92;6;32;1045.01;0
0;2;2;60;111;48;0;10000.02;1
0;4;30;99;69;11;15;9829.64;1
0;1;1;67;123;40;36;10000.01;1
0;16;29;75;68;15;38;9999.89;1
0;10;4;76;94;14;7;8959.01;0
0;27;14;76;74;14;23;6767.01;0
0;5;5;87;115;4;4;9519.51;1
0;2;2;111;113;0;18;10000.02;1
0;22;33;98;59;9;10;8131.01;0
0;48;3;96;67;23;40;5653.01;0
0;32;21;117;80;12;37;9960.13;1
1;1;1;67;123;40;36;9999.82;1
1;41;41;133;135;0;38;10000.04;1
1;5;5;87;115;4;4;9777.68;1
1;40;6;68;98;38;9;9576.38;1
1;41;41;68;133;38;0;10000.04;1
1;1;32;68;54;38;19;9999.99;1
1;16;29;75;68;15;38;9999.93;1
1;33;8;75;82;15;41;9552.01;0
1;36;14;75;62;15;6;5827.01;0
1;22;33;98;74;9;23;4729.01;0
1;39;8;121;59;0;10;9722.31;1
1;27;27;94;129;7;0;9999.99;1
1;41;26;135;82;38;41;10000.04;1
1;46;14;82;57;41;12;2203.01;0
1;15;21;77;97;45;12;9760.84;1
1;12;47;77;58;45;18;9999.9;1
1;32;32;70;141;3;41;9796.47;1
1;26;26;69;145;15;15;9999.93;1
1;36;36;59;125;10;10;9933.1;1
1;31;30;59;62;10;6;7630.01;0
1;35;32;59;57;10;12;6964.01;0
1;17;17;137;139;0;4;9652.26;1
1;4;30;99;69;11;15;9675.99;1
1;1;30;123;72;36;36;9999.82;1
1;31;31;105;107;0;11;9999.96;1
1;39;39;55;119;30;0;9722.31;1
1;39;38;55;99;30;11;1731.01;0
1;32;21;143;81;3;41;9796.47;1
1;10;4;149;79;21;21;10000.01;1
1;49;6;89;98;33;9;10000.03;1
1;4;4;96;155;23;23;10000.11;1
1;32;21;117;80;12;37;9670.33;1
1;5;15;115;93;4;40;9777.68;1
1;20;20;88;109;9;9;9888.34;1
1;24;16;88;58;9;18;4446.01;0
1;36;34;125;75;10;15;9933.1;1
1;34;44;93;81;40;41;1919.01;0
1;17;18;139;84;4;4;9652.26;1
1;31;31;90;105;11;0;9999.96;1
1;32;32;141;143;41;3;9796.47;1
1;9;9;151;153;0;20;9528.25;1
1;27;4;131;65;7;4;9999.99;1
1;9;32;153;83;20;20;9528.25;1
1;20;19;109;78;9;6;9888.34;1
1;30;1;58;56;18;17;9732.01;0
1;4;4;155;157;23;23;10000.11;1
1;26;8;145;90;15;11;9999.93;1
1;4;10;157;67;23;40;10000.11;1
1;32;32;52;117;12;12;9670.33;1
1;21;32;52;69;12;15;6345.01;0
1;37;0;72;66;36;1;9757.61;1
1;2;16;74;84;23;4;9664.8;1
1;9;9;74;151;23;0;9528.25;1
1;39;39;119;121;0;0;9722.31;1
1;8;33;80;62;37;6;3836.01;0
1;44;34;80;87;37;4;7684.01;0
1;37;4;61;53;49;36;4484.01;0
1;31;30;107;99;11;11;9999.96;1
1;18;17;127;79;6;21;9999.99;1
1;45;37;60;83;48;20;7719.01;0
1;27;27;129;131;0;7;9999.99;1
1;17;17;51;137;47;0;9652.26;1
1;18;18;62;127;6;6;9999.99;1
1;10;10;62;147;6;0;10000.01;1
1;10;10;147;149;0;21;10000.01;1
1;16;47;66;58;1;18;9872.97;1
1;42;30;54;69;19;15;9926.01;1
2;41;41;133;135;0;38;9999.88;1
2;18;18;62;127;6;6;9999.94;1
2;10;10;62;147;6;0;10000.1;1
2;8;42;62;76;6;14;10000;1
2;28;28;55;165;30;0;9999.99;1
2;18;29;67;90;40;11;9550.01;0
2;9;9;151;153;0;20;9885.66;1
2;14;36;58;96;18;23;6850.01;0
2;43;9;58;86;18;43;4573.01;0
2;17;17;51;137;47;0;9708.82;1
2;21;21;92;161;32;38;9999.98;1
2;28;42;167;94;7;7;9999.99;1
2;11;43;65;86;4;43;7250.01;0
2;10;10;65;159;4;0;9911.14;1
2;27;27;94;129;7;0;9999.99;1
2;6;49;84;64;4;42;982.01;0
2;4;4;96;155;23;23;10000.02;1
2;36;36;76;51;14;47;3023.01;0
